choice_TID,choice_group_ID,result_Index,Choice_type,hidden_Choice_condition_type,hidden_Choice_condition_Standard,hidden_Choice_condition_value,choice_text_ID,condition1_type,condition1_standard,condition1_value,condition2_type,condition2_standard,condition2_value,And_result,Condition1_result,Condition2_result,fail_result
Choice_Story_00641,Choice_Story_0064,1,Normal,Null,Null,,제일 이상한 건 늑대 배에서 꺼낸 할머니가 살아있다는 거지.,Null,Null,,Null,Null,,,,,R0066_P100
Choice_Story_00661,Choice_Story_0066,1,Normal,Null,Null,,\q빨간 모자의 말을 다 믿으세요?\q,Null,Null,,Null,Null,,,,,R0068_P100
Choice_Story_00681,Choice_Story_0068,1,Normal,Null,Null,,\q그럴리가요. 궁금한 게 많아서 그런거죠.\q,Null,Null,,Null,Null,,,,,R0070_P100
Choice_Story_00701,Choice_Story_0070,1,Dimmed,Item_repeat,Equal,1000,4등분으로 접혀진 종이,Null,Null,,Null,Null,,,,,R0072_P100
Choice_Story_00702,Choice_Story_0070,2,Dimmed,Item_repeat,Equal,100,찰랑거리는 갈색 주머니,Null,Null,,Null,Null,,,,,R0084_P100
Choice_Story_00703,Choice_Story_0070,3,Dimmed,Item_repeat,Equal,10,둘둘 말려있는 종이,Null,Null,,Null,Null,,,,,R0086_P100
Choice_Story_00721,Choice_Story_0072,1,Normal,Null,Null,,어떤 소원이든 들어준다면 나를 다시 현실로 돌려보내줄 수 있을까.,Null,Null,,Null,Null,,,,,R0074_P100
Choice_Story_00741,Choice_Story_0074,1,Normal,Null,Null,,필요한 게 뭐인지만 정확히 기억해야지.,Null,Null,,Null,Null,,,,,R0076_P100
Choice_Story_00761,Choice_Story_0076,1,Normal,Null,Null,,하트여왕의 왕관이라...,Null,Null,,Null,Null,,,,,R0078_P100
Choice_Story_00781,Choice_Story_0078,1,Normal,Null,Null,,과자집 주인?,Null,Null,,Null,Null,,,,,R0080_P100
Choice_Story_00801,Choice_Story_0080,1,Normal,Null,Null,,작은 요정은 누굴까?,Null,Null,,Null,Null,,,,,R0082_P100
Choice_Story_00821,Choice_Story_0082,1,Normal,Null,Null,,다시 접어 가방에 넣는다. ,Item_repeat,Equal,0001,Null,Null,,,R0093_P100,,R0703_P100
Choice_Story_00841,Choice_Story_0084,1,Normal,Null,Null,,단단히 입구를 닫고 가방에 넣는다. ,Item_repeat,Equal,0001,Null,Null,,,R0093_P100,,R0703_P100
Choice_Story_00861,Choice_Story_0086,1,Normal,Null,Null,,리타?,Null,Null,,Null,Null,,,,,R0088_P100
Choice_Story_00881,Choice_Story_0088,1,Normal,Null,Null,, … 책?,Null,Null,,Null,Null,,,,,R0090_P100
Choice_Story_00901,Choice_Story_0090,1,Normal,Null,Null,,이럴 줄 알았다면 책을 펼쳐라도 보고 올걸.,Null,Null,,Null,Null,,,,,R0092_P100
Choice_Story_00921,Choice_Story_0092,1,Normal,Null,Null,,붉은 줄로 묶어 가방에 넣는다.,Item_repeat,Equal,0001,Null,Null,,,R0093_P100,,R0703_P100
Choice_Story_00931,Choice_Story_0093,1,Normal,Null,Null,,지금 바로 못 간다는 게 문제이긴 하지만...,Null,Null,,Null,Null,,,,,R0095_P100
Choice_Story_00951,Choice_Story_0095,1,Normal,Null,Null,,분수대 쪽으로 간다.,Null,Null,,Null,Null,,,,,R0097_P100
Choice_Story_00952,Choice_Story_0095,2,Normal,Null,Null,,집의 초인종을 누른다.,Null,Null,,Null,Null,,,,,R0099_P100
Choice_Story_00971,Choice_Story_0097,1,Normal,Null,Null,, \q저기요\c 여기 혹시 민박이나 펜션이 있을까요?\q.,Null,Null,,Null,Null,,,,,R0105_P100
Choice_Story_00991,Choice_Story_0099,1,Normal,Null,Null,,\q이 근처에 머무를 만한 곳이 있을까 해서요.\q,Null,Null,,Null,Null,,,,,R0101_P100
Choice_Story_01011,Choice_Story_0101,1,Normal,Null,Null,, 천천히 3번가 쪽으로 걸어간다.,Null,Null,,Null,Null,,,,,R0103_P100
Choice_Story_01031,Choice_Story_0103,1,Normal,Null,Null,,그게 지금 나에게 필요한데 그 빨간 모자가 계속 쓰고 있을 텐데.,Null,Null,,Null,Null,,,,,R0109_P100
Choice_Story_01051,Choice_Story_0105,1,Normal,Null,Null,, \q3번가 6\c7\c8이라구요? 감사합니다.\q,Null,Null,,Null,Null,,,,,R0107_P100
Choice_Story_01071,Choice_Story_0107,1,Normal,Null,Null,,그게 지금 나에게 필요한데 그 빨간 모자가 계속 쓰고 있을 텐데.,Null,Null,,Null,Null,,,,,R0109_P100
Choice_Story_01091,Choice_Story_0109,1,Normal,Null,Null,,똑똑똑.,Null,Null,,Null,Null,,,,,R0111_P100
Choice_Story_01111,Choice_Story_0111,1,Normal,Null,Null,,\q여기가 김 사장님 펜션이라고 얘기 듣고 찾아왔습니다.\q,Null,Null,,Null,Null,,,,,R0114_P100
Choice_Story_01112,Choice_Story_0111,2,Normal,Null,Null,,\q머무를 곳이 필요해서요. 여기 펜션 맞죠?\q,Null,Null,,Null,Null,,,,,R0115_P100
Choice_Story_01141,Choice_Story_0114,1,Normal,Null,Null,5, 주머니에서 금화 5개를 꺼내 건낸다.,Null,Null,5,Null,Null,,,,,R0117_P100
Choice_Story_01151,Choice_Story_0115,1,Normal,Null,Null,5, 주머니에서 금화 5개를 꺼내 건낸다.,Null,Null,5,Null,Null,,,,,R0117_P100
Choice_Story_01171,Choice_Story_0117,1,Normal,Null,Null,,\q감사합니다.\q,Null,Null,,Null,Null,,,,,R0120_P100
Choice_Story_01172,Choice_Story_0117,2,Normal,Null,Null,,\q아\c 네.\q,Null,Null,,Null,Null,,,,,R0120_P100
Choice_Story_01201,Choice_Story_0120,1,Normal,Null,Null,,오\c 뭐야. 생각보다 진짜 괜찮은데?,Null,Null,,Null,Null,,,,,R0122_P100
Choice_Story_01221,Choice_Story_0122,1,Normal,Null,Null,,아\c 진짜 피곤하네-.,Null,Null,,Null,Null,,,,,R0124_P100
Choice_Story_01241,Choice_Story_0124,1,Normal,Null,Null,,발을 움직인다.,Null,Null,,Null,Null,,,,,R0126_P100
Choice_Story_01261,Choice_Story_0126,1,Normal,Null,Null,, \q왜 이래?\q,Null,Null,,Null,Null,,,,,R0129_P100
Choice_Story_01262,Choice_Story_0126,2,Normal,Null,Null,,\q나 죽은 건가?\q,Null,Null,,Null,Null,,,,,R0130_P100
Choice_Story_01291,Choice_Story_0129,1,Normal,Null,Null,,\q누구야?!\q,Null,Null,,Null,Null,,,,,R0133_P100
Choice_Story_01292,Choice_Story_0129,2,Normal,Null,Null,, \q나 좀 도와주세요?!\q,Null,Null,,Null,Null,,,,,R0133_P100
Choice_Story_01301,Choice_Story_0130,1,Normal,Null,Null,,\q누구야?!\q,Null,Null,,Null,Null,,,,,R0133_P100
Choice_Story_01302,Choice_Story_0130,2,Normal,Null,Null,, \q나 좀 도와주세요?!\q,Null,Null,,Null,Null,,,,,R0133_P100
Choice_Story_01331,Choice_Story_0133,1,Normal,Null,Null,,움직이려는 모든 것을 멈춘다.,Null,Null,,Null,Null,,,,,R0136_P100
Choice_Story_01332,Choice_Story_0133,2,Normal,Null,Null,,계속 발버둥치려 한다.,Null,Null,,Null,Null,,,,,R0136_P100
Choice_Story_01361,Choice_Story_0136,1,Normal,Null,Null,,\q나 알아요?\q,Null,Null,,Null,Null,,,,,R0140_P100
Choice_Story_01362,Choice_Story_0136,2,Normal,Null,Null,,\q이번에 오는 애라뇨.\q,Null,Null,,Null,Null,,,,,R0153_P100
Choice_Story_01363,Choice_Story_0136,3,Normal,Null,Null,, \q저 가지고 뭐 하시려고요?\q,Null,Null,,Null,Null,,,,,R0166_P100
Choice_Story_01401,Choice_Story_0140,1,Normal,Null,Null,,도대체 뭐하자는 거지.,Null,Null,,Null,Null,,,,,R0142_P100
Choice_Story_01421,Choice_Story_0142,1,Normal,Null,Null,,적당히 아는 건 뭐야. ,Null,Null,,Null,Null,,,,,R0144_P100
Choice_Story_01441,Choice_Story_0144,1,Normal,Null,Null,,\q왜 웃어요?\q,Null,Null,,Null,Null,,,,,R0147_P100
Choice_Story_01442,Choice_Story_0144,2,Normal,Null,Null,,\q적당히 안다는 건 뭐에요?\q,Null,Null,,Null,Null,,,,,R0148_P100
Choice_Story_01471,Choice_Story_0147,1,Normal,Null,Null,, \q근데 나 좀 움직일 수 있게는 못해주나요?\q,Null,Null,,Null,Null,,,,,R0150_P100
Choice_Story_01481,Choice_Story_0148,1,Normal,Null,Null,, \q근데 나 좀 움직일 수 있게는 못해주나요?\q,Null,Null,,Null,Null,,,,,R0150_P100
Choice_Story_01501,Choice_Story_0150,1,Normal,Null,Null,, 손으로 잼잼한다.,Null,Null,,Null,Null,,,,,R0152_P100
Choice_Story_01521,Choice_Story_0152,1,Normal,Null,Null,, \q누가 보면 연예인인 줄.\q,Null,Null,,Null,Null,,,,,R0185_P100
Choice_Story_01522,Choice_Story_0152,2,Normal,Null,Null,,\q뭐하는 사람이야..?\q,Null,Null,,Null,Null,,,,,R0186_P100
Choice_Story_01531,Choice_Story_0153,1,Normal,Null,Null,, 뒷걸음질친다.,Null,Null,,Null,Null,,,,,R0155_P100
Choice_Story_01551,Choice_Story_0155,1,Normal,Null,Null,,\q뭐야!\q,Null,Null,,Null,Null,,,,,R0158_P100
Choice_Story_01552,Choice_Story_0155,2,Normal,Null,Null,, \q어디 간 거야?\q,Null,Null,,Null,Null,,,,,R0159_P100
Choice_Story_01581,Choice_Story_0158,1,Normal,Null,Null,,손을 잡고 일어난다.,Null,Null,,Null,Null,,,,,R0162_P100
Choice_Story_01582,Choice_Story_0158,2,Normal,Null,Null,,손을 무시하고 혼자 일어난다.,Null,Null,,Null,Null,,,,,R0163_P100
Choice_Story_01591,Choice_Story_0159,1,Normal,Null,Null,,손을 잡고 일어난다.,Null,Null,,Null,Null,,,,,R0162_P100
Choice_Story_01592,Choice_Story_0159,2,Normal,Null,Null,,손을 무시하고 혼자 일어난다.,Null,Null,,Null,Null,,,,,R0163_P100
Choice_Story_01621,Choice_Story_0162,1,Normal,Null,Null,,남자와 거리를 두고 서 있는다.,Null,Null,,Null,Null,,,,,R0165_P100
Choice_Story_01631,Choice_Story_0163,1,Normal,Null,Null,,남자와 거리를 두고 서 있는다.,Null,Null,,Null,Null,,,,,R0165_P100
Choice_Story_01651,Choice_Story_0165,1,Normal,Null,Null,, \q누가 보면 연예인인 줄.\q,Null,Null,,Null,Null,,,,,R0185_P100
Choice_Story_01652,Choice_Story_0165,2,Normal,Null,Null,,\q뭐하는 사람이야..?\q,Null,Null,,Null,Null,,,,,R0186_P100
Choice_Story_01661,Choice_Story_0166,1,Normal,Null,Null,,\q저 Rh+ AB형이고 고혈압도 있는데.\q,Null,Null,,Null,Null,,,,,R0168_P100
Choice_Story_01681,Choice_Story_0168,1,Normal,Null,Null,,\q그럴 시간에 저 좀 움직일 수 있게 도와주시겠어요?\q,Null,Null,,Null,Null,,,,,R0178_P100
Choice_Story_01682,Choice_Story_0168,2,Normal,Null,Null,,\q그것도 참 쓸데없는 소리네요.\q,Null,Null,,Null,Null,,,,,R0172_P100
Choice_Story_01683,Choice_Story_0168,3,Normal,Null,Null,,\q저한테는 많이 중요한 정보라서.\q,Null,Null,,Null,Null,,,,,R0174_P100
Choice_Story_01721,Choice_Story_0172,1,Normal,Null,Null,,\q말하는 본새는 그만 보시고 저 좀 도와주실래요?\q,Null,Null,,Null,Null,,,,,R0178_P100
Choice_Story_01741,Choice_Story_0174,1,Normal,Null,Null,,\q그럼 무슨 생각을 해야 하나요?\q,Null,Null,,Null,Null,,,,,R0176_P100
Choice_Story_01761,Choice_Story_0176,1,Normal,Null,Null,,\q아\c 그런가요?\q,Null,Null,,Null,Null,,,,,R0178_P100
Choice_Story_01781,Choice_Story_0178,1,Normal,Null,Null,,\q감사합니다.\q,Null,Null,,Null,Null,,,,,R0181_P100
Choice_Story_01782,Choice_Story_0178,2,Normal,Null,Null,,\q보내주시는 건가요?\q,Null,Null,,Null,Null,,,,,R0182_P100
Choice_Story_01811,Choice_Story_0181,1,Normal,Null,Null,, \q누가 보면 연예인인 줄.\q,Null,Null,,Null,Null,,,,,R0185_P100
Choice_Story_01812,Choice_Story_0181,2,Normal,Null,Null,,\q뭐하는 사람이야..?\q,Null,Null,,Null,Null,,,,,R0186_P100
Choice_Story_01821,Choice_Story_0182,1,Normal,Null,Null,, \q누가 보면 연예인인 줄.\q,Null,Null,,Null,Null,,,,,R0185_P100
Choice_Story_01822,Choice_Story_0182,2,Normal,Null,Null,,\q뭐하는 사람이야..?\q,Null,Null,,Null,Null,,,,,R0186_P100
Choice_Story_01851,Choice_Story_0185,1,Normal,Null,Null,,\q허...\q,Null,Null,,Null,Null,,,,,R0189_P100
Choice_Story_01861,Choice_Story_0186,1,Normal,Null,Null,, \q원래 세계...?\q,Null,Null,,Null,Null,,,,,R0189_P100
Choice_Story_01891,Choice_Story_0189,1,Normal,Null,Null,,\q뭐야? 여긴.\q,Null,Null,,Null,Null,,,,,R0191_P100
Choice_Story_01911,Choice_Story_0191,1,Normal,Null,Null,,의자에 앉는다.,Null,Null,,Null,Null,,,,,R0193_P100
Choice_Story_01931,Choice_Story_0193,1,Normal,Null,Null,,살짝 갸우뚱하며 고개를 끄덕인다.,Null,Null,,Null,Null,,,,,R0197_P100
Choice_Story_01932,Choice_Story_0193,2,Normal,Null,Null,,고개를 좌우로 흔든다.,Null,Null,,Null,Null,,,,,R0197_P100
Choice_Story_01933,Choice_Story_0193,3,Normal,Null,Null,, 눈을 크게 뜨고 남자를 쳐다본다.,Null,Null,,Null,Null,,,,,R0197_P100
Choice_Story_01971,Choice_Story_0197,1,Normal,Null,Null,,\q저 책 제목이란 것까지밖에 몰라요. 책을 읽어보지는 않아서.\q,Null,Null,,Null,Null,,,,,R0199_P100
Choice_Story_01991,Choice_Story_0199,1,Normal,Null,Null,,고개를 젓는다.,Null,Null,,Null,Null,,,,,R0202_P100
Choice_Story_01992,Choice_Story_0199,2,Normal,Null,Null,,\q아뇨\c 그냥 빨간 모자 책인 줄 알았는데요.\q,Null,Null,,Null,Null,,,,,R0202_P100
Choice_Story_02021,Choice_Story_0202,1,Normal,Null,Null,,\q지금 겪고 있는 빨간 모자는 알고 있던 이야기의 뒷 이야기 같던데.\q,Null,Null,,Null,Null,,,,,R0204_P100
Choice_Story_02041,Choice_Story_0204,1,Normal,Null,Null,,고개를 끄덕인다.,Null,Null,,Null,Null,,,,,R0207_P100
Choice_Story_02042,Choice_Story_0204,2,Normal,Null,Null,,\q근데 질문이 있는데.\q,Null,Null,,Null,Null,,,,,R0212_P100
Choice_Story_02071,Choice_Story_0207,1,Normal,Null,Null,,\q어떻게 얻을 수 있는데요?\q,Null,Null,,Null,Null,,,,,R0209_P100
Choice_Story_02091,Choice_Story_0209,1,Normal,Null,Null,,\q힌트는 없나요?\q,Null,Null,,Null,Null,,,,,R0211_P100
Choice_Story_02111,Choice_Story_0211,1,Normal,Null,Null,,\q그래서 당신은 누군데요?\q,Null,Null,,Null,Null,,,,,R0225_P100
Choice_Story_02121,Choice_Story_0212,1,Normal,Null,Null,,\q원작 동화를 망가뜨릴 수도 있나요?\q,Null,Null,,Null,Null,,,,,R0214_P100
Choice_Story_02141,Choice_Story_0214,1,Normal,Null,Null,, \q음-\c 예를 들면 인어공주에 나오는 왕자를 먼저 죽여버리거나...\q,Null,Null,,Null,Null,,,,,R0217_P100
Choice_Story_02142,Choice_Story_0214,2,Normal,Null,Null,,\q그냥요-\c 제가 원작 동화를 망쳐버릴 수도 있잖아요?\q,Null,Null,,Null,Null,,,,,R0217_P100
Choice_Story_02171,Choice_Story_0217,1,Normal,Null,Null,,\q그래서 되나요\c 안되나요?\q,Null,Null,,Null,Null,,,,,R0219_P100
Choice_Story_02191,Choice_Story_0219,1,Normal,Null,Null,, \q그쪽한테 재밌는 걸 보여주려는 의도가 아닌데요? 난 어떻게든 되는 게 아니라 살아야 해서.\q,Null,Null,,Null,Null,,,,,R0222_P100
Choice_Story_02192,Choice_Story_0219,2,Normal,Null,Null,,\q감사해야 하는 건지는 모르겠지만 감사합니다.\q,Null,Null,,Null,Null,,,,,R0223_P100
Choice_Story_02221,Choice_Story_0222,1,Normal,Null,Null,,\q그래서 당신은 누군데요?\q,Null,Null,,Null,Null,,,,,R0225_P100
Choice_Story_02231,Choice_Story_0223,1,Normal,Null,Null,,\q그래서 당신은 누군데요?\q,Null,Null,,Null,Null,,,,,R0225_P100
Choice_Story_02251,Choice_Story_0225,1,Normal,Null,Null,, \q신?\q,Null,Null,,Null,Null,,,,,R0229_P100
Choice_Story_02252,Choice_Story_0225,2,Normal,Null,Null,,\q이 책의 작가?\q,Null,Null,,Null,Null,,,,,R0232_P100
Choice_Story_02253,Choice_Story_0225,3,Normal,Null,Null,, \q도우미?\q,Null,Null,,Null,Null,,,,,R0245_P100
Choice_Story_02291,Choice_Story_0229,1,Normal,Null,Null,,\q그렇긴 한데 한 행동들을 보면 평범한 사람은 아니잖아요.\q,Null,Null,,Null,Null,,,,,R0231_P100
Choice_Story_02311,Choice_Story_0231,1,Normal,Null,Null,,\q그럼 도움이 필요하면 불러도 되나요?\q,Null,Null,,Null,Null,,,,,R0253_P100
Choice_Story_02321,Choice_Story_0232,1,Normal,Null,Null,,고개를 끄덕인다.,Null,Null,,Null,Null,,,,,R0235_P100
Choice_Story_02322,Choice_Story_0232,2,Normal,Null,Null,,\q그럼 뭔데요?\q,Null,Null,,Null,Null,,,,,R0242_P100
Choice_Story_02351,Choice_Story_0235,1,Normal,Null,Null,,\q작가랑 교류한다고요?\q,Null,Null,,Null,Null,,,,,R0237_P100
Choice_Story_02371,Choice_Story_0237,1,Normal,Null,Null,, 고개를 끄덕이며 계속 쳐다본다.,Null,Null,,Null,Null,,,,,R0239_P100
Choice_Story_02391,Choice_Story_0239,1,Normal,Null,Null,,\q우리에게 어떤 도움을 주나요?\q,Null,Null,,Null,Null,,,,,R0241_P100
Choice_Story_02411,Choice_Story_0241,1,Normal,Null,Null,,\q그럼 도움이 필요하면 불러도 되나요?\q,Null,Null,,Null,Null,,,,,R0253_P100
Choice_Story_02421,Choice_Story_0242,1,Normal,Null,Null,,\q우리에게 어떤 도움을 주는데요?\q,Null,Null,,Null,Null,,,,,R0244_P100
Choice_Story_02441,Choice_Story_0244,1,Normal,Null,Null,,\q그럼 도움이 필요하면 불러도 되나요?\q,Null,Null,,Null,Null,,,,,R0253_P100
Choice_Story_02451,Choice_Story_0245,1,Normal,Null,Null,,\q뭐하는 거죠?\q,Null,Null,,Null,Null,,,,,R0247_P100
Choice_Story_02471,Choice_Story_0247,1,Normal,Null,Null,,\q한 마디로 이 '리타'의 관리자네요.\q,Null,Null,,Null,Null,,,,,R0249_P100
Choice_Story_02491,Choice_Story_0249,1,Normal,Null,Null,,\q그게 무슨 말이죠?\q,Null,Null,,Null,Null,,,,,R0251_P100
Choice_Story_02511,Choice_Story_0251,1,Normal,Null,Null,,\q그럼 도움이 필요하면 불러도 되나요?\q,Null,Null,,Null,Null,,,,,R0253_P100
Choice_Story_02531,Choice_Story_0253,1,Normal,Null,Null,,\q그러다 내가 이 세계를 망치면요?\q,Null,Null,,Null,Null,,,,,R0255_P100
Choice_Story_02551,Choice_Story_0255,1,Normal,Null,Null,,\q날 지워버린다고요?\q,Null,Null,,Null,Null,,,,,R0258_P100
Choice_Story_02552,Choice_Story_0255,2,Normal,Null,Null,,\q그럼 전 현실로 돌아갈 수 있나요?\q ,Null,Null,,Null,Null,,,,,R0263_P100
Choice_Story_02581,Choice_Story_0258,1,Normal,Null,Null,, \q그럼 난 어떻게 되는 거에요?\q,Null,Null,,Null,Null,,,,,R0260_P100
Choice_Story_02601,Choice_Story_0260,1,Normal,Null,Null,,\q현실의 나는 왜 사라지는데요?\q,Null,Null,,Null,Null,,,,,R0262_P100
Choice_Story_02621,Choice_Story_0262,1,Normal,Null,Null,, \q왜 나에요?\q,Null,Null,,Null,Null,,,,,R0265_P100
Choice_Story_02631,Choice_Story_0263,1,Normal,Null,Null,, \q왜 나에요?\q,Null,Null,,Null,Null,,,,,R0265_P100
Choice_Story_02651,Choice_Story_0265,1,Normal,Null,Null,,\q당사자는 무슨 죄야?\q,Null,Null,,Null,Null,,,,,R0268_P100
Choice_Story_02652,Choice_Story_0265,2,Normal,Null,Null,,\q뭐같네.\q,Null,Null,,Null,Null,,,,,R0270_P100
Choice_Story_02681,Choice_Story_0268,1,Normal,Null,Null,,\q그쪽이 만나면 전해 줘요. 이런 거 생각보다 거지같다고.\q,Null,Null,,Null,Null,,,,,R0272_P100
Choice_Story_02701,Choice_Story_0270,1,Normal,Null,Null,,\q마음에 드는 거는 제 상관 아니고 참 거지 같네요.\q,Null,Null,,Null,Null,,,,,R0272_P100
Choice_Story_02721,Choice_Story_0272,1,Normal,Null,Null,,\q제가 현실로 살아서 돌아가는 방법은 오즈를 만나는 방법 하나 뿐인가요?\q,Null,Null,,Null,Null,,,,,R0274_P100
Choice_Story_02741,Choice_Story_0274,1,Normal,Null,Null,,\q그럼 앞 사람들은 어떻게 됐나요?\q,Null,Null,,Null,Null,,,,,R0276_P100
Choice_Story_02742,Choice_Story_0274,2,Normal,Null,Null,,\q오즈가 있긴 한가요?\q,Null,Null,,Null,Null,,,,,R0284_P100
