story_ID,story
RYTA1024,"차라리 유치한 생각으로 이어지느니 빨리 물어보고 대답을 듣는 것이 나을 것이라는 생각이 들어 집주인에게 물어본다.\n""빨간 모자님은 늑대를 쫓아주시는 엄청난 분이시라고. 지난 번에 늑대에게 잡아먹힌 할머니를 구하고 늑대를 물리쳤지."""
RYTA1025,방금까지 유치하다고 생각해 머릿속에서 떠나보내려던 그 생각을 버리면 안될 수도 있겠다는 생각이 든다.
RYTA1026,그렇다면 지금 이 곳은 '빨간 모자' 이야기의 마을이고 내가 그 속에 들어온 건가?\n말도 안되는 이야기지만 내가 지금까지 겪은 일들이 더욱 말도 안되는 이야기라서 조금씩 정신을 차린다.\n방금 세운 가설이 맞는 것인지 파악하기 위해서 무언가의 테스트가 필요할 것 같다.
RYTA1027,"""맞아맞아\c 잘 모르는 것 같더만 아닌가봐? 늑대의 배를 갈라서 할머니를 구하고 돌을 넣었다고 했어."""
RYTA1028,이게 현실이라고 하기엔 너무나도 비현실적이다.\n도서관에서 나오기 전까지만 해도 난 평범하게 도서관에서 책을 읽고 빌리려고 했던 한 사람일 뿐인데 내가 무슨 빨간 모자 이야기에?\n말도 안되지만 이 말도 안되는 이야기가 말도 안된다는 것을 증명하기 위해서는 무언가의 테스트가 필요할 것 같다.
RYTA1029,"""맞아맞아\c 잘 모르는 것 같더만 아닌가봐? 늑대의 배를 갈라서 할머니를 구하고 돌을 넣었다고 했어."""
RYTA1030,왜 자꾸 말도 안되는 이야기가 내 현실이라는 걸 더 증명하게 되는 꼴일까.\n더이상 피할 수도 없게 만드는 내 주위의 모든 것들을 인정해야만 한다는 생각이 못처럼 박혀버린다.
RYTA1031,그런데 지금 빨간 모자 이야기를 다들 알고 있는 걸 보니까 그 이후의 상황인 듯 한데.\n이게 현실이라면....
RYTA1032,할머니를 잡아먹은 늑대의 배를 갈라 돌을 넣고 구한 할머니와 행복하게 살았다?\n너무 어릴 때 읽어서 정확한 내용이 기억이 안 나는데 대충 이런 이야기였던 것 같은데.
RYTA1033,아무런 마취도 없이 늑대의 배를 가르면 가르다가 아파서 깰 것 같은데.\n그리고 늑대가 할머니 분장을 했다고 치더라도 늑대는 늑대인데 못 알아보는 것도 이상하고.
RYTA1034,나라면 이 이야기를 들으면서 계속 뭔가 이상한 낌새를 느낄 것 같은데 여기 사람들은 그런 게 전혀 없었을까?\n아님 사람들이 믿을 수 밖에 없던 이유가 있던 것일까.
RYTA1035,"""당연하지! 빨간 모자님이 말씀하신대로 더 이상 늑대도 안 나타나잖아. 우리 빨간 모자님을 의심하는 거야?""\n조금요라고 말하고 싶은 입을 꾹 다물고는 고개를 좌우로 흔들며 웃었다."
RYTA1036,집주인은 그런 나를 못 믿는다는 듯한 눈빛으로 날 쳐다보며 천천히 집으로 들어갔다.\n웃고 있던 표정을 싹 지우고 더 이상 방황할 수 없다는 생각을 하며 아까부터 매고 있던 가방을 열어본다.
RYTA1037,종이를 펼치자 광고지 같은 내용이 적혀있다.\n‘이 종이를 보고 있는 당신! 소원이 있으신가요? 당신의 소원을 오즈에게 빌어보세요. 대신 당연히 대가가 있습니다. 빨간 모자의 빨간 모자\c 하트여왕의 왕관\c 과자집 주인의 손톱\c 작은 요정의 빛나는 가루를 찾아서 가져오시면 당신의 어떤 소원이든 들어드립니다. 주소 : 리타(Ryta) 지포드워자(Ziford Woza) 가장 높은 성’
RYTA1038,주머니의 입구를 열자 안이 금빛으로 물들어 있다.\n손가락 한 마디만한 작은 금화가 주머니를 가득 채우고 있다. \n아마 이것이 여기에서 사용하는 화폐겠지라고 생각하며 세어보니 30개의 금화가 들어있다.\n이걸로 여기 있는 동안 잠잘 수 있는 곳은 구할 수 있겠다.
RYTA1039,고무줄로 둘둘 말려있는 종이를 펼쳤다.\n대한민국 지도와는 많이 다른 모습의 지도가 그려져 있는데 지도의 오른쪽 구석에 많이 본 글씨체로 'RYTA'라고 쓰여져 있다.
RYTA1040,자기가 써놓은 말이 있으니 일단 필요한 것들을 구해서 가지고 가면 어떻게든 집으로 돌려보내주겠지.
RYTA1041,아까 집주인이 했었던 말에도 리타가 들어있었는데 도대체 어디서 들어봤는지 곰곰이 생각한다.\n지도의 있는 'RYTA'라는 글씨가 눈에 너무 익어 계속 쳐다보다가 머릿속에 똑같은 모양의 글씨가 오버랩된다.
RYTA1042,빨간 모자의 빨간모자는 지금 아까 거기에 있던 빨간 모자를 말하는 거겠지.
RYTA1043,아까 집주인이 했었던 말에도 리타가 들어있었는데 도대체 어디서 들어봤는지 곰곰이 생각한다.\n지도의 있는 'RYTA'라는 글씨가 눈에 너무 익어 계속 쳐다보다가 머릿속에 똑같은 모양의 글씨가 오버랩된다.
RYTA1044,하트여왕은 이상한 나라의 앨리스에 나오는 그 여자를 말하는 건가.
RYTA1045,동화에 대해 어떻게 생각하냐고 그래서 그냥 지나쳤던 그 책이다.\n그 책의 제목이 'RYTA'였다.\n왜 그게 지금 떠오르는지.
RYTA1046,과자집이면 헨젤과 그레텔의 그 과자집? 그 집의 주인은 마녀일텐데 마녀의 손톱을 가져오라는 거야?
RYTA1047,약간의 후회가 밀려오지만 지금 후회하는 건 아무 소용이 없다는 생각이 머리에 둥둥 떠다니자 현재에 집중해야겠다는 다짐을 한다.
RYTA1048,요정이 나오는 동화가 어지간히 많아야지 말이야. 신데렐라에도 나오고\c 피터팬\c 잠자는 숲속의 공주. 너무나 많은데?\n이걸 다 어떻게 찾아야 할지는 모르겠지만 지금 내가 다시 돌아갈 수 있는 방법은 이것밖에 없으니 해봐야지. 
RYTA1049,
RYTA1050,
RYTA1051,
RYTA1052,
RYTA1053,
RYTA1054,
RYTA1055,
RYTA1056,
RYTA1057,
RYTA1058,
RYTA1059,
RYTA1060,
RYTA1061,
RYTA1062,
RYTA1063,
RYTA1064,
RYTA1065,
RYTA1066,
RYTA1067,
RYTA1068,
RYTA1069,
RYTA1070,
RYTA1071,
RYTA1072,
RYTA1073,
RYTA1074,
RYTA1075,
RYTA1076,
RYTA1077,
RYTA1078,
RYTA1079,
RYTA1080,
RYTA1081,
RYTA1082,
RYTA1083,
RYTA1084,
RYTA1085,
RYTA1086,
RYTA1087,
RYTA1088,
RYTA1089,
RYTA1090,
RYTA1091,
RYTA1092,
RYTA1093,
RYTA1094,
RYTA1095,
RYTA1096,
RYTA1097,
